,file,label
0,Arborio/Arborio (14124).jpg,Arborio
1,Arborio/Arborio (3612).jpg,Arborio
2,Arborio/Arborio (5878).jpg,Arborio
3,Arborio/Arborio (8049).jpg,Arborio
4,Arborio/Arborio (4177).jpg,Arborio
5,Arborio/Arborio (5498).jpg,Arborio
6,Arborio/Arborio (13652).jpg,Arborio
7,Arborio/Arborio (12140).jpg,Arborio
8,Arborio/Arborio (8393).jpg,Arborio
9,Arborio/Arborio (9699).jpg,Arborio
10,Arborio/Arborio (4337).jpg,Arborio
11,Arborio/Arborio (3413).jpg,Arborio
12,Arborio/Arborio (5729).jpg,Arborio
13,Arborio/Arborio (5447).jpg,Arborio
14,Arborio/Arborio (8264).jpg,Arborio
15,Arborio/Arborio (4449).jpg,Arborio
16,Arborio/Arborio (5132).jpg,Arborio
17,Arborio/Arborio (1463).jpg,Arborio
18,Arborio/Arborio (5033).jpg,Arborio
19,Arborio/Arborio (9554).jpg,Arborio
20,Arborio/Arborio (7542).jpg,Arborio
21,Arborio/Arborio (13650).jpg,Arborio
22,Arborio/Arborio (6365).jpg,Arborio
23,Arborio/Arborio (9208).jpg,Arborio
24,Arborio/Arborio (3899).jpg,Arborio
25,Arborio/Arborio (12677).jpg,Arborio
26,Arborio/Arborio (7239).jpg,Arborio
27,Arborio/Arborio (13154).jpg,Arborio
28,Arborio/Arborio (6664).jpg,Arborio
29,Arborio/Arborio (5615).jpg,Arborio
30,Arborio/Arborio (8195).jpg,Arborio
31,Arborio/Arborio (67).jpg,Arborio
32,Arborio/Arborio (915).jpg,Arborio
33,Arborio/Arborio (14256).jpg,Arborio
34,Arborio/Arborio (8285).jpg,Arborio
35,Arborio/Arborio (5296).jpg,Arborio
36,Arborio/Arborio (14440).jpg,Arborio
37,Arborio/Arborio (4408).jpg,Arborio
38,Arborio/Arborio (4768).jpg,Arborio
39,Arborio/Arborio (12069).jpg,Arborio
40,Arborio/Arborio (3579).jpg,Arborio
41,Arborio/Arborio (10894).jpg,Arborio
42,Arborio/Arborio (11110).jpg,Arborio
43,Arborio/Arborio (8982).jpg,Arborio
44,Arborio/Arborio (6586).jpg,Arborio
45,Arborio/Arborio (11557).jpg,Arborio
46,Arborio/Arborio (5244).jpg,Arborio
47,Arborio/Arborio (14377).jpg,Arborio
48,Arborio/Arborio (9877).jpg,Arborio
49,Arborio/Arborio (8754).jpg,Arborio
50,Arborio/Arborio (4730).jpg,Arborio
51,Arborio/Arborio (1192).jpg,Arborio
52,Arborio/Arborio (13922).jpg,Arborio
53,Arborio/Arborio (14529).jpg,Arborio
54,Arborio/Arborio (14465).jpg,Arborio
55,Arborio/Arborio (8378).jpg,Arborio
56,Arborio/Arborio (3041).jpg,Arborio
57,Arborio/Arborio (4121).jpg,Arborio
58,Arborio/Arborio (4827).jpg,Arborio
59,Arborio/Arborio (1960).jpg,Arborio
60,Arborio/Arborio (1426).jpg,Arborio
61,Arborio/Arborio (7325).jpg,Arborio
62,Arborio/Arborio (10240).jpg,Arborio
63,Arborio/Arborio (4286).jpg,Arborio
64,Arborio/Arborio (11542).jpg,Arborio
65,Arborio/Arborio (12639).jpg,Arborio
66,Arborio/Arborio (14287).jpg,Arborio
67,Arborio/Arborio (1250).jpg,Arborio
68,Arborio/Arborio (11614).jpg,Arborio
69,Arborio/Arborio (390).jpg,Arborio
70,Arborio/Arborio (12585).jpg,Arborio
71,Arborio/Arborio (1511).jpg,Arborio
72,Arborio/Arborio (2279).jpg,Arborio
73,Arborio/Arborio (6932).jpg,Arborio
74,Arborio/Arborio (12960).jpg,Arborio
75,Arborio/Arborio (7294).jpg,Arborio
76,Arborio/Arborio (13084).jpg,Arborio
77,Arborio/Arborio (8066).jpg,Arborio
78,Arborio/Arborio (7188).jpg,Arborio
79,Arborio/Arborio (5623).jpg,Arborio
80,Arborio/Arborio (12687).jpg,Arborio
81,Arborio/Arborio (4498).jpg,Arborio
82,Arborio/Arborio (5065).jpg,Arborio
83,Arborio/Arborio (10832).jpg,Arborio
84,Arborio/Arborio (10757).jpg,Arborio
85,Arborio/Arborio (1780).jpg,Arborio
86,Arborio/Arborio (11608).jpg,Arborio
87,Arborio/Arborio (4287).jpg,Arborio
88,Arborio/Arborio (272).jpg,Arborio
89,Arborio/Arborio (4598).jpg,Arborio
90,Arborio/Arborio (471).jpg,Arborio
91,Arborio/Arborio (3476).jpg,Arborio
92,Arborio/Arborio (14030).jpg,Arborio
93,Arborio/Arborio (9239).jpg,Arborio
94,Arborio/Arborio (12354).jpg,Arborio
95,Arborio/Arborio (12693).jpg,Arborio
96,Arborio/Arborio (14994).jpg,Arborio
97,Arborio/Arborio (3943).jpg,Arborio
98,Arborio/Arborio (7020).jpg,Arborio
99,Arborio/Arborio (2484).jpg,Arborio
100,Arborio/Arborio (5653).jpg,Arborio
101,Arborio/Arborio (5271).jpg,Arborio
102,Arborio/Arborio (5810).jpg,Arborio
103,Arborio/Arborio (14990).jpg,Arborio
104,Arborio/Arborio (884).jpg,Arborio
105,Arborio/Arborio (14493).jpg,Arborio
106,Arborio/Arborio (13373).jpg,Arborio
107,Arborio/Arborio (9013).jpg,Arborio
108,Arborio/Arborio (7152).jpg,Arborio
109,Arborio/Arborio (2139).jpg,Arborio
110,Arborio/Arborio (6398).jpg,Arborio
111,Arborio/Arborio (5207).jpg,Arborio
